"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2021","82.575","81.462","82.602","81.462","0.49K","0.12%"
"12/31/2020","82.480","83.006","83.119","82.459","30.42K","-0.59%"
"12/30/2020","82.967","83.033","83.237","82.673","40.00K","0.01%"
"12/29/2020","82.955","82.703","83.090","82.617","35.00K","0.32%"
"12/28/2020","82.692","82.705","82.832","82.410","34.13K","0.02%"
"12/25/2020","82.675","82.572","82.761","82.510","2.71K","0.20%"
"12/24/2020","82.509","83.081","83.285","82.451","45.52K","-0.66%"
"12/23/2020","83.056","83.006","83.254","82.745","36.71K","0.09%"
"12/22/2020","82.979","83.576","83.652","82.926","50.35K","-0.70%"
"12/21/2020","83.560","83.286","83.704","82.799","43.39K","0.36%"
"12/18/2020","83.262","83.117","83.353","82.891","34.39K","0.19%"
"12/17/2020","83.102","83.209","83.416","82.949","50.60K","-0.03%"
"12/16/2020","83.123","83.046","83.374","82.812","52.59K","0.12%"
"12/15/2020","83.020","83.045","83.239","82.859","32.50K","-0.02%"
"12/14/2020","83.038","82.964","83.159","82.640","34.62K","0.19%"
"12/11/2020","82.877","83.276","83.297","82.759","35.03K","-0.40%"
"12/10/2020","83.209","82.894","83.276","82.783","38.16K","0.38%"
"12/09/2020","82.897","82.902","82.994","82.681","33.77K","0.01%"
"12/08/2020","82.887","82.891","82.972","82.609","34.46K","0.01%"
"12/07/2020","82.876","82.717","83.208","82.618","40.53K","0.28%"
"12/04/2020","82.641","82.893","83.007","82.658","41.07K","-0.27%"
"12/03/2020","82.868","82.471","82.991","82.374","43.72K","0.53%"
"12/02/2020","82.432","81.702","82.490","81.608","43.74K","0.96%"
"12/01/2020","81.646","81.412","81.730","80.952","54.12K","0.34%"
"11/30/2020","81.370","81.759","82.019","81.368","37.91K","-0.45%"
"11/27/2020","81.739","81.438","81.892","81.318","45.11K","0.43%"
"11/26/2020","81.393","81.247","81.491","81.180","34.35K","0.22%"
"11/25/2020","81.216","81.289","81.388","80.862","48.31K","-0.07%"
"11/24/2020","81.270","81.368","81.448","80.981","55.82K","-0.09%"
"11/23/2020","81.343","81.343","81.661","81.159","43.27K","0.02%"
"11/20/2020","81.323","81.368","81.603","81.209","53.08K","0.00%"
"11/19/2020","81.321","81.348","81.597","81.201","41.91K","0.00%"
"11/18/2020","81.323","81.720","81.836","81.297","41.54K","-0.46%"
"11/17/2020","81.700","81.508","81.969","81.425","37.96K","0.30%"
"11/16/2020","81.457","81.716","81.916","81.346","36.95K","-0.26%"
"11/13/2020","81.666","81.645","81.778","81.376","39.15K","0.08%"
"11/12/2020","81.600","81.166","81.777","81.109","52.19K","0.60%"
"11/11/2020","81.115","81.174","81.315","80.928","51.54K","0.00%"
"11/10/2020","81.118","81.041","81.435","80.880","70.25K","0.12%"
"11/09/2020","81.022","82.132","82.488","80.961","94.25K","-1.32%"
"11/06/2020","82.102","81.753","82.479","81.554","99.44K","0.46%"
"11/05/2020","81.723","81.464","81.868","81.366","101.96K","0.38%"
"11/04/2020","81.416","81.803","82.091","81.124","123.92K","-0.40%"
