#id,Date,Title,cat,cat+,linked CI,Short Description / inclusion criteria,Form,Region/Organization,Link,Ukraine,Institution 
1,2017-10-09 00:00:00,"Commissioner King's keynote address at the European Cybersecurity Forum, Krakow",1,.,"Wannacry, NotPetya, Dragonfly, Mirai",Awareness raising for more cybersecurity,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5791,0,Commission
2,2017-10-09 00:00:00,Remarks by Commissioner Avramopoulos at the Economist EU-Eurasia-China Business Summit: Building bridges from East to West,2,1,,Call for cooperation with Asia,Cooperation,Asia,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5774,0,Commission
3,2017-10-23 00:00:00,"Commissioner King's Speech to the National Cybersecurity Centre, In London",1,.,"Wannacry, NotPetya",Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5844,0,Commission
4,2017-10-30 00:00:00,"Keynote speech of Commissioner Mariya Gabriel in Romanian Annual High Level International Conference ""New challenges in cyber security""",1,.,,Raising awareness / call for European cooperation,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5965,0,Commission
5,2017-11-08 00:00:00,Commissioner King's remarks at the FT Cybersecurity Summit in London,3,1,"Wannacry, NotPetya",Concerns about recent development ,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5887,0,Commission
6,2017-11-17 00:00:00,Statement following the EU-US Justice and Home Affairs ministerial meeting ,3,2,,"The European Union and the United States of America exchanged views on action to jointly counter the misuse of the internet for terrorist purposes, in cooperation with multiple stakeholders, including the private sector and civil society. The European Union provided updates regarding increased efforts to counter the use of the internet for terrorist purposes under the umbrella of the EU Internet Forum. The European Union and the United States of America agreed on the need to jointly address cybersecurity and counter cybercrime and in this context took note of the conclusions of the 14 November 2017 EU-US Cyber Dialogue","Dialogue, jointly adressed cybersecurity",USA,https://www.consilium.europa.eu/en/press/press-releases/2017/11/17/eu-u-s-statement-following-the-eu-u-s-justice-and-home-affairs-ministerial-meeting/; https://ec.europa.eu/commission/presscorner/detail/en/statement_17_4735,0,Council; Commission
7,2017-11-17 00:00:00,Speech by Vice-President Ansip at the Fintech Forum 2017,3,1,Wannacry,Concerns about recent development ,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5919,0,Commission
8,2017-11-20 00:00:00,EU to beef up cybersecurity ,3,.,,"The General Affairs Council today adopted conclusions calling for the strengthening of European cybersecurity and enhancing cyber resilience across the EU, in line with the tasking from the European Council in October 2017",,United Kingdom,https://www.consilium.europa.eu/en/press/press-releases/2017/11/20/eu-to-beef-up-cybersecurity/,0,Council
9,2017-11-29 00:00:00,Speech by Michel Barnier at the Berlin Security Conference,2,.,,"Cooperation UK- EU after Brexit, also in cyberspace",Cooperation,UK ,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5021,0,Commission
10,2017-12-01 00:00:00,Cyber Resilience for Development,2,.,,European Union project to promote cyber security and cyber-resilience to protect public and private enterprises worldwide,Cooperation,"Not defined, different regions worldwide",https://cyber4dev.eu/,0,EU
11,2018-01-19 00:00:00,"Vice-President Katainen's Opening Speech at CEPS' Future of Europe Series, Brussels",3,1,"Wannacry, NotPetya","Gives an overview over recent cyber incidences, mentions concerns about recent development, mentions importance of cybersecurity ",,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3315,0,Commission
12,2018-02-06 00:00:00,Opening speech by Commissioner Mariya Gabriel of the Safer Internet Day 2018,1,.,,Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3359,0,Commission
13,2018-02-15 00:00:00,"Commissioner King's keynote speech at the, 'WannaCry again? Making our businesses digitally great and cyberproof' conference, Munich, 15 February 2018",3,1,Wannacry,"Concerns about recent development, call to enhance cybersecurity",,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3385,0,Commission
14,2018-02-15 00:00:00,"Commissioner King's keynote speech at the 'Future Security Science Match' conference, Munich, 15 February 2018",1,.,,Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3382,0,Commission
15,2018-02-16 00:00:00,Charter of trust for a secure Digital World,3,1,"Wannacry, NotPetya, Olympic Games",Concerns about recent development; awareness rising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3387,0,Commission
16,2018-02-27 00:00:00,VP Dombrovskis speech at the Afore Consulting's 2nd Annual Fintech and Digitalisation Conference,1,.,,Awareness raising/confidence building,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3421,0,Commission
17,2018-03-01 00:00:00,Support to cybersecurity in Ukraine,1,.,,Capacity building in  Ukraine,Capacity building,Ukraine,https://cybilportal.org/projects/legislation-assessment-compliance-with-nis-directive/,0,EU
18,2018-04-10 00:00:00,Audition du Commissaire Julian King devant la Commission des lois et la Commission des affaires européennes,3,1,"Wannacry, NotPetya,",Concerns about recent development mentioned; also awareness rising ,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3542,0,Commission
19,2018-04-16 00:00:00,Response to malicious cyber activities: Council adopts conclusions ,3,.,"WannaCry, NotPetya","The Council adopted conclusions on malicious cyber activities which underline the importance of a global, open, free, stable and secure cyberspace where human rights and fundamental freedoms and the rule of law fully apply. The Council expressed its serious concern about the increased ability and willingness of third states and non-state actors to pursue their objectives by undertaking malicious cyber activities. ",,,https://www.consilium.europa.eu/en/press/press-releases/2018/04/16/malicious-cyber-activities-council-adopts-conclusions/,0,Council
20,2018-04-18 00:00:00,Speech by Vice-President Ansip on cybersecurity at the RSA Conference 2018,1,.,,Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3430,0,Commission
21,2018-04-18 00:00:00,Opening speech by Commissioner Mariya Gabriel on Western Balkans Digital Summit,1,.,,Capacity building in the Western Balkan states,Capacity building,Western Balkans,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3591,0,Commission
22,2018-04-18 00:00:00,Commissioner King's speech to the Centre for European Policy Studies: How to tackle the cyber threats to digital democracies,1,.,,Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3564,0,Commission
23,2018-05-14 00:00:00,Commissioner King's remarks at the Symposium of the German Domestic Intelligence Service on Hybrid Threats,1,.,"Foreign Ministry, SWP, Bundestag",Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3629,0,Commission
24,2018-05-17 00:00:00,EU-Western Balkans summit: improving connectivity and security in the region,2,.,,"Dialogue Western Balkan (Albania, Bosnia and Herzegowina, Kosovo, Montenegro, North Macedonia, Serbia)",Dialogue ,Western Balkan ,https://ec.europa.eu/commission/presscorner/detail/en/ip_18_3821,0,Commission
25,2018-05-28 00:00:00,Deepening EU security cooperation with Asian partners: Council adopts conclusions ,3,2,,"On 28 May 2018, the Council adopted conclusions on enhanced EU security cooperation in and with Asia.The Council notes that there are important possibilities to deepen EU security cooperation with its Asian strategic partners: China, India, Japan and the Republic of Korea, as well as with other partners, along with ASEAN and its member states.The Council identifies key areas for deeper security engagement: maritime security, cyber security, counter terrorism, hybrid threats, conflict prevention, the proliferation of chemical biological radiological and nuclear weapons and the development of regional cooperative orders.",Cooperation,"China, India, Japan, Republic of Korea, other ASEAN states",https://www.consilium.europa.eu/en/press/press-releases/2018/05/28/deepening-eu-security-cooperation-with-asian-partners-council-adopts-conclusions/,0,Council
26,2018-06-21 00:00:00,Commissioner King's speech to the Aspen Institute: Protecting Western democracies from manipulation and disinformation,2,1,,"US-EU dialogue about cyber mentioned, also raising awareness for cybersecurity",Cooperation,USA,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3744,0,Commission
27,2018-07-11 00:00:00,Commissioner King's remarks at the Ministers of Interior meeting of the Berlin Process,2,.,,EU support for cyber security in the Western Balkan,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3792,0,Commission
28,2018-09-04 00:00:00,Opening speech by Commissioner Mariya Gabriel on CERT-EU Conference,1,.,,"Speaking about cybersecurity in the EU in general, awareness raising",,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3899,0,Commission
29,2018-09-05 00:00:00,Commissioner King's speech at the CERT-EU Conference 2018,3,1,,Concerns about current development; raising awareness,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3837,0,Commission
30,2018-09-20 00:00:00,Speech by Commissioner Avramopoulos at the ministerial conference on high-tech crime and information security “Connect securely”,1,.,,Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3881,0,Commission
31,2018-09-25 00:00:00,Commissioner King's remarks at the meeting of the Joint Parliamentary Scrutiny Group on Europol,1,.,,Talking about the capabilities of the EU in cyberspace and prevention against cyberattacks,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3910,0,Commission
32,2018-10-04 00:00:00,Joint statement by Presidents Tusk and Juncker and High Representative Mogherini on Russian cyber attacks,3,.,The Organisation for the Prohibition of Chemical Weapons (OPCW) in The Hague were targeted by a  cyber operation carried out by the Russian military intelligence service (GRU) in April 2018,"EU Council: ""We express serious concerns about this attempt to undermine the integrity of the Organisation for the Prohibition of Chemical Weapons (OPCW), a respected international organisation, hosted by the Netherlands. This aggressive act demonstrated contempt for the solemn purpose of the Organisation for the Prohibition of Chemical Weapons (OPCW), which works to eradicate weapons worldwide under a United Nations mandate. The EU will continue to strengthen the resilience of its institutions and those of its Member States, and international partners and organisations in the digital domain.""",,,https://www.consilium.europa.eu/en/press/press-releases/2018/10/04/joint-statement-by-presidents-tusk-and-juncker-and-high-representative-mogherini/,0,Council
33,2018-10-04 00:00:00,Commissioner King's remarks to the European Parliament's TERR Committee,1,.,,Awareness raising,,,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3944,0,Commission
